Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Time_Seconds,Time_Minutes,Round_Format,Unique_Fight_ID
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Rafael Fiziev vs. Mateusz Gamrot,Rafael Fiziev,Mateusz Gamrot,Lightweight Bout,KO/TKO,2,2:03,5 Rnd (5-5-5-5-5),Herb Dean,to Leg Injury,B,Mateusz Gamrot,123,2.05,5.0,"UFC Fight Night: Fiziev vs. GamrotRafael Fiziev vs. Mateusz GamrotSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Bryce Mitchell vs. Dan Ige,Bryce Mitchell,Dan Ige,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. David Lethaby 28 - 29. Jacob Montalvo 28 - 29.,A,Bryce Mitchell,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotBryce Mitchell vs. Dan IgeSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Marina Rodriguez vs. Michelle Waterson-Gomez,Marina Rodriguez,Michelle Waterson-Gomez,Women's Strawweight Bout,KO/TKO,2,2:42,3 Rnd (5-5-5),Kerry Hatley,Punches to Head From Mount,A,Marina Rodriguez,162,2.7,3.0,"UFC Fight Night: Fiziev vs. GamrotMarina Rodriguez vs. Michelle Waterson-GomezSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Bryan Battle vs. AJ Fletcher,Bryan Battle,AJ Fletcher,Welterweight Bout,Submission,2,4:32,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,A,Bryan Battle,272,4.533333333333333,3.0,"UFC Fight Night: Fiziev vs. GamrotBryan Battle vs. AJ FletcherSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Ricardo Ramos vs. Charles Jourdain,Ricardo Ramos,Charles Jourdain,Featherweight Bout,Submission,1,3:12,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard,B,Charles Jourdain,192,3.2,3.0,"UFC Fight Night: Fiziev vs. GamrotRicardo Ramos vs. Charles JourdainSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Dan Argueta vs. Miles Johns,Dan Argueta,Miles Johns,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Junichiro Kamijo 27 - 30. Anthony Maness 27 - 30. Jacob Montalvo 28 - 29.,B,Miles Johns,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotDan Argueta vs. Miles JohnsSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Tim Means vs. Andre Fialho,Tim Means,Andre Fialho,Welterweight Bout,KO/TKO,3,1:15,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,A,Tim Means,75,1.25,3.0,"UFC Fight Night: Fiziev vs. GamrotTim Means vs. Andre FialhoSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Jacob Malkoun vs. Cody Brundage,Jacob Malkoun,Cody Brundage,Middleweight Bout,DQ,1,4:15,3 Rnd (5-5-5),Mark Smith,Strike to back of head,B,Cody Brundage,255,4.25,3.0,"UFC Fight Night: Fiziev vs. GamrotJacob Malkoun vs. Cody BrundageSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Mohammed Usman vs. Jake Collier,Mohammed Usman,Jake Collier,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jacob Montalvo 27 - 30. David Lethaby 28 - 29. Tony Weeks 28 - 29.,A,Mohammed Usman,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotMohammed Usman vs. Jake CollierSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Mizuki vs. Hannah Goldy,Mizuki,Hannah Goldy,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. David Lethaby 28 - 29.,A,Mizuki,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotMizuki vs. Hannah GoldySeptember 23, 2023"
