Event,Fight,Fighter,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,0,94 of 271,0 of 0,---,0,0,0:00,94 of 271,34%,22 of 154,38 of 60,34 of 57,94 of 271,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,1,137 of 259,0 of 0,---,0,0,0:14,137 of 259,52%,85 of 186,45 of 62,7 of 11,121 of 235,11 of 14,5 of 10
UFC 293: Adesanya vs. Strickland,Tai Tuivasa vs. Alexander Volkov,Tai Tuivasa,0,30 of 69,0 of 0,---,0,0,0:00,28 of 67,41%,4 of 31,7 of 9,17 of 27,26 of 65,2 of 2,0 of 0
UFC 293: Adesanya vs. Strickland,Tai Tuivasa vs. Alexander Volkov,Alexander Volkov,1,107 of 164,0 of 1,0%,1,0,2:35,93 of 143,65%,65 of 110,18 of 21,10 of 12,72 of 115,3 of 3,18 of 25
UFC 293: Adesanya vs. Strickland,Manel Kape vs. Felipe dos Santos,Manel Kape,1,116 of 186,1 of 1,100%,0,0,0:45,112 of 182,61%,77 of 137,24 of 30,11 of 15,92 of 149,6 of 9,14 of 24
UFC 293: Adesanya vs. Strickland,Manel Kape vs. Felipe dos Santos,Felipe dos Santos,0,101 of 310,0 of 5,0%,0,0,0:08,99 of 304,32%,53 of 215,28 of 60,18 of 29,94 of 292,4 of 8,1 of 4
UFC 293: Adesanya vs. Strickland,Justin Tafa vs. Austen Lane,Justin Tafa,1,11 of 14,0 of 0,---,0,0,0:05,11 of 14,78%,9 of 11,0 of 0,2 of 3,6 of 9,0 of 0,5 of 5
UFC 293: Adesanya vs. Strickland,Justin Tafa vs. Austen Lane,Austen Lane,0,7 of 15,0 of 0,---,0,0,0:00,7 of 14,50%,3 of 9,1 of 2,3 of 3,7 of 14,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Tyson Pedro vs. Anton Turkalj,Tyson Pedro,1,16 of 29,0 of 0,---,0,0,0:03,16 of 29,55%,12 of 24,1 of 2,3 of 3,15 of 28,0 of 0,1 of 1
UFC 293: Adesanya vs. Strickland,Tyson Pedro vs. Anton Turkalj,Anton Turkalj,0,9 of 25,0 of 0,---,0,0,0:00,8 of 24,33%,3 of 13,1 of 1,4 of 10,6 of 21,2 of 3,0 of 0
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Carlos Ulberg,1,91 of 165,1 of 2,50%,1,0,1:41,81 of 154,52%,50 of 119,20 of 23,11 of 12,59 of 126,8 of 9,14 of 19
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Da Woon Jung,0,60 of 123,1 of 2,50%,0,0,0:15,58 of 120,48%,14 of 59,12 of 20,32 of 41,55 of 115,3 of 5,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Jack Jenkins,0,43 of 70,0 of 1,0%,0,0,0:07,41 of 68,60%,16 of 36,13 of 18,12 of 14,35 of 60,6 of 8,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Chepe Mariscal,0,87 of 143,1 of 1,100%,0,0,2:46,38 of 87,43%,14 of 53,11 of 16,13 of 18,23 of 65,14 of 21,1 of 1
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,Jamie Mullarkey,0,88 of 179,0 of 2,0%,0,0,0:00,88 of 179,49%,38 of 120,13 of 20,37 of 39,88 of 179,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,John Makdessi,0,85 of 190,0 of 1,0%,0,0,0:00,83 of 188,44%,37 of 119,22 of 45,24 of 24,83 of 188,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Nasrat Haqparast,0,172 of 378,0 of 5,0%,0,0,0:21,171 of 377,45%,114 of 304,57 of 73,0 of 0,161 of 361,10 of 16,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Landon Quinones,0,152 of 359,0 of 0,---,0,0,0:41,148 of 354,41%,79 of 273,37 of 46,32 of 35,137 of 340,11 of 14,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Blood Diamond,0,75 of 136,0 of 3,0%,0,0,0:21,44 of 94,46%,19 of 58,19 of 28,6 of 8,19 of 58,25 of 36,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Charles Radtke,0,63 of 112,1 of 6,16%,0,0,9:41,35 of 76,46%,31 of 72,4 of 4,0 of 0,27 of 59,8 of 17,0 of 0
UFC 293: Adesanya vs. Strickland,Shane Young vs. Gabriel Miranda,Shane Young,0,1 of 4,0 of 0,---,0,0,0:00,1 of 4,25%,0 of 2,1 of 2,0 of 0,1 of 4,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Shane Young vs. Gabriel Miranda,Gabriel Miranda,0,2 of 6,1 of 2,50%,1,0,0:32,2 of 6,33%,0 of 2,1 of 2,1 of 2,2 of 6,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Ciryl Gane,0,110 of 157,0 of 0,---,0,0,0:09,109 of 156,69%,48 of 85,39 of 49,22 of 22,105 of 152,4 of 4,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Serghei Spivac,0,11 of 44,0 of 1,0%,0,0,0:02,11 of 44,25%,7 of 38,2 of 3,2 of 3,11 of 44,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Manon Fiorot,0,62 of 232,0 of 1,0%,0,0,0:24,58 of 225,25%,39 of 197,15 of 22,4 of 6,53 of 214,4 of 10,1 of 1
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Rose Namajunas,0,60 of 152,0 of 6,0%,0,0,0:25,60 of 150,40%,32 of 107,15 of 26,13 of 17,59 of 148,1 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,0,123 of 210,5 of 9,55%,0,0,5:20,101 of 182,55%,49 of 123,28 of 34,24 of 25,42 of 71,10 of 14,49 of 97
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Thiago Moises,0,27 of 67,1 of 3,33%,1,0,0:14,24 of 62,38%,12 of 46,10 of 14,2 of 2,23 of 59,1 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Volkan Oezdemir,1,36 of 64,1 of 1,100%,1,0,1:23,26 of 46,56%,19 of 37,1 of 2,6 of 7,15 of 32,1 of 1,10 of 13
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Bogdan Guskov,0,10 of 27,0 of 0,---,0,0,0:00,8 of 25,32%,7 of 23,1 of 1,0 of 1,8 of 24,0 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,William Gomis,0,61 of 99,0 of 0,---,2,0,0:55,52 of 88,59%,10 of 30,6 of 15,36 of 43,47 of 82,5 of 6,0 of 0
