Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,1,0,12 of 39,0 of 0,---,0,0,0:00,12 of 39,30%,1 of 20,3 of 7,8 of 12,12 of 39,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,2,0,20 of 64,0 of 0,---,0,0,0:00,20 of 64,31%,3 of 35,7 of 12,10 of 17,20 of 64,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,3,0,21 of 57,0 of 0,---,0,0,0:00,21 of 57,36%,4 of 27,10 of 17,7 of 13,21 of 57,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,4,0,20 of 51,0 of 0,---,0,0,0:00,20 of 51,39%,10 of 35,7 of 10,3 of 6,20 of 51,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Israel Adesanya,5,0,21 of 60,0 of 0,---,0,0,0:00,21 of 60,35%,4 of 37,11 of 14,6 of 9,21 of 60,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,1,1,27 of 52,0 of 0,---,0,0,0:14,27 of 52,51%,22 of 42,1 of 4,4 of 6,11 of 28,11 of 14,5 of 10
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,2,0,16 of 32,0 of 0,---,0,0,0:00,16 of 32,50%,11 of 22,5 of 8,0 of 2,16 of 32,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,3,0,20 of 41,0 of 0,---,0,0,0:00,20 of 41,48%,12 of 32,8 of 9,0 of 0,20 of 41,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,4,0,38 of 63,0 of 0,---,0,0,0:00,38 of 63,60%,22 of 46,15 of 16,1 of 1,38 of 63,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Israel Adesanya vs. Sean Strickland,Sean Strickland,5,0,36 of 71,0 of 0,---,0,0,0:00,36 of 71,50%,18 of 44,16 of 25,2 of 2,36 of 71,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Tai Tuivasa vs. Alexander Volkov,Tai Tuivasa,1,0,16 of 40,0 of 0,---,0,0,0:00,15 of 39,38%,0 of 16,5 of 7,10 of 16,15 of 39,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Tai Tuivasa vs. Alexander Volkov,Tai Tuivasa,2,0,14 of 29,0 of 0,---,0,0,0:00,13 of 28,46%,4 of 15,2 of 2,7 of 11,11 of 26,2 of 2,0 of 0
UFC 293: Adesanya vs. Strickland,Tai Tuivasa vs. Alexander Volkov,Alexander Volkov,1,1,53 of 86,0 of 1,0%,0,0,0:07,51 of 83,61%,29 of 56,13 of 16,9 of 11,50 of 82,1 of 1,0 of 0
