Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Fiziev vs. Gamrot,Rafael Fiziev vs. Mateusz Gamrot,Rafael Fiziev,1,0,16 of 28,0 of 0,---,0,0,0:00,16 of 27,59%,4 of 11,10 of 14,2 of 2,16 of 27,0 of 0,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Rafael Fiziev vs. Mateusz Gamrot,Rafael Fiziev,2,0,3 of 6,0 of 0,---,0,0,0:00,2 of 5,40%,0 of 3,2 of 2,0 of 0,2 of 5,0 of 0,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Rafael Fiziev vs. Mateusz Gamrot,Mateusz Gamrot,1,0,12 of 35,0 of 3,0%,0,0,0:03,12 of 34,35%,7 of 25,2 of 5,3 of 4,12 of 34,0 of 0,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Rafael Fiziev vs. Mateusz Gamrot,Mateusz Gamrot,2,0,5 of 7,1 of 3,33%,0,0,1:25,4 of 6,66%,4 of 6,0 of 0,0 of 0,1 of 1,1 of 1,2 of 4
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Bryce Mitchell,1,0,20 of 30,2 of 6,33%,0,0,1:56,14 of 22,63%,7 of 11,4 of 7,3 of 4,11 of 15,0 of 1,3 of 6
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Bryce Mitchell,2,0,13 of 23,1 of 5,20%,1,0,2:30,5 of 12,41%,3 of 6,2 of 6,0 of 0,5 of 11,0 of 1,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Bryce Mitchell,3,0,4 of 6,2 of 4,50%,0,0,3:07,4 of 6,66%,3 of 5,1 of 1,0 of 0,1 of 3,1 of 1,2 of 2
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Dan Ige,1,0,14 of 30,0 of 0,---,0,0,0:03,10 of 25,40%,7 of 20,2 of 4,1 of 1,10 of 25,0 of 0,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Dan Ige,2,0,14 of 33,0 of 0,---,0,0,0:31,8 of 26,30%,6 of 23,1 of 2,1 of 1,6 of 22,2 of 3,0 of 1
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,Dan Ige,3,0,4 of 9,0 of 0,---,0,1,1:37,0 of 4,0%,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,Marina Rodriguez,1,0,67 of 99,1 of 1,100%,0,0,1:07,51 of 75,68%,38 of 56,13 of 19,0 of 0,6 of 13,45 of 62,0 of 0
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,Marina Rodriguez,2,0,23 of 31,0 of 0,---,0,0,0:56,19 of 27,70%,9 of 14,9 of 11,1 of 2,6 of 10,8 of 11,5 of 6
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,Michelle Waterson-Gomez,1,0,13 of 25,1 of 5,20%,0,0,2:09,10 of 20,50%,5 of 15,4 of 4,1 of 1,2 of 7,6 of 7,2 of 6
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,Michelle Waterson-Gomez,2,0,3 of 12,0 of 1,0%,0,0,0:40,3 of 12,25%,2 of 8,1 of 3,0 of 1,2 of 10,1 of 2,0 of 0
