Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Event_Link
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Sean Strickland vs. Dricus Du Plessis,Sean Strickland,Dricus Du Plessis,UFC Middleweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 48 - 47. Derek Cleary 47 - 48. Eric Colon 47 - 48.,B,Dricus Du Plessis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Charles Jourdain vs. Sean Woodson,Charles Jourdain,Sean Woodson,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Declan Woods 28 - 29. Patricia Vandermeer 29 - 28. Derek Cleary 28 - 29.,B,Sean Woodson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Malcolm Gordon vs. Jimmy Flick,Malcolm Gordon,Jimmy Flick,Flyweight Bout,Submission,2,1:17,3 Rnd (5-5-5),Todd Ronald Anderson,Arm Triangle From Half Guard,B,Jimmy Flick,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Jasmine Jasudavicius vs. Priscila Cachoeira,Jasmine Jasudavicius,Priscila Cachoeira,Women's Bantamweight Bout,Submission,3,4:21,3 Rnd (5-5-5),Mathew  Rocca,Anaconda Choke On Ground,A,Jasmine Jasudavicius,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Yohan Lainesse vs. Sam Patterson,Yohan Lainesse,Sam Patterson,Welterweight Bout,Submission,1,2:03,3 Rnd (5-5-5),Brian Beauchamp,Rear Naked Choke,B,Sam Patterson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Serhiy Sidey vs. Ramon Taveras,Serhiy Sidey,Ramon Taveras,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Eric Colon 28 - 29. Derek Cleary 29 - 28. Saleem Haniff 28 - 29.,B,Ramon Taveras,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Gillian Robertson vs. Polyana Viana,Gillian Robertson,Polyana Viana,Women's Strawweight Bout,KO/TKO,2,3:12,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head From Back Control,A,Gillian Robertson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Brad Katona vs. Garrett Armfield,Brad Katona,Garrett Armfield,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Eric Colon 28 - 29. Kyle Costello 28 - 29. Sal D'amato 28 - 29.,B,Garrett Armfield,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Arnold Allen vs. Movsar Evloev,Arnold Allen,Movsar Evloev,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 28 - 29. Patricia Vandermeer 28 - 29. Saleem Haniff 28 - 29.,B,Movsar Evloev,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Chris Curtis vs. Marc-Andre Barriault,Chris Curtis,Marc-Andre Barriault,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Declan Woods 27 - 30. Derek Cleary 29 - 28. Eric Colon 27 - 30.,A,Chris Curtis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
